cities,alo_s,alo_p
10,0.0014214805000002605,0.001456341800000005
20,0.0015309495999999644,0.001646090199998973
30,0.001729782299999838,0.0025771667999993754
40,0.001785980000000595,0.002810624099998904
50,0.001995801699999633,0.0029820941999986416
60,0.00226254920000028,0.0038316231999964145
70,0.002665886200000661,0.0044098623000017765
80,0.0030127420000003067,0.005291802399999312
90,0.0033742456999996534,0.005451343499999694
100,0.003936194100005253,0.0060678897000007006
150,0.007629246599995554,0.01463374609999984
200,0.013681743800003688,0.01759048760000128
300,0.03172759930000098,0.03368132769999901
400,0.058955720300002755,0.05738184419998334
500,0.088955720300002755,0.08038184419998334